Results,EUR/USD Close,USD/JPY Close,USD/CHF Close,GBP/USD Close,USD/CAD Close
2012-11-07,1.2765,79.933,0.9447,1.5991,0.9966
2012-11-08,1.2745,79.354,0.9459,1.5977,0.9997
2012-11-09,1.2711,79.484,0.9484,1.5899,1.0009
2012-11-12,1.271,79.457,0.9479,1.588,0.9994
2012-11-13,1.2705,79.39,0.9473,1.5875,1.0018
2012-11-14,1.2732,80.23,0.9451,1.5841,1.0036
2012-11-15,1.2763,81.2,0.943,1.5849,1.0016
2012-11-16,1.2734,81.229,0.9458,1.5885,1.0008
2012-11-19,1.2804,81.34,0.9404,1.59,0.9965
2012-11-20,1.2815,81.714,0.9399,1.592,0.9972
2012-11-21,1.2825,82.513,0.9389,1.5953,0.9965
2012-11-22,1.2871,82.569,0.9353,1.593,0.9977
2012-11-23,1.2982,82.35,0.9274,1.604,0.9917
2012-11-26,1.297,82.049,0.9277,1.6025,0.9934
2012-11-27,1.2932,82.154,0.9309,1.6013,0.9946
2012-11-28,1.2934,81.925,0.9305,1.6011,0.9925
2012-11-29,1.2973,82.08,0.928,1.6039,0.9928
2012-11-30,1.3006,82.422,0.9266,1.6024,0.9931
2012-12-03,1.3051,82.242,0.9258,1.6091,0.9947
2012-12-04,1.3098,81.825,0.9261,1.6103,0.9924
2012-12-05,1.3079,82.395,0.926,1.6089,0.991
2012-12-06,1.2965,82.37,0.933,1.6052,0.991
2012-12-07,1.2927,82.429,0.9343,1.6038,0.9901
2012-12-10,1.2935,82.363,0.9334,1.6069,0.9866
2012-12-11,1.3002,82.47,0.9325,1.6111,0.9863
2012-12-12,1.3064,83.16,0.9265,1.614,0.9846
2012-12-13,1.3073,83.602,0.9239,1.6107,0.985
2012-12-14,1.3154,83.49,0.9183,1.6156,0.9863
2012-12-17,1.316,83.8,0.9178,1.6201,0.9837
2012-12-18,1.3224,84.2,0.9134,1.6249,0.9857
2012-12-19,1.3247,84.4,0.9121,1.6255,0.9875
2012-12-20,1.3243,84.392,0.9116,1.6277,0.9871
2012-12-21,1.3178,84.25,0.9165,1.6165,0.9935
2012-12-24,1.3173,84.83,0.9161,1.6115,0.9915
2012-12-25,1.3191,84.78,0.9142,1.6013,0.9931
2012-12-26,1.3218,85.597,0.9133,1.613,0.9939
2012-12-27,1.3242,86.01,0.913,1.6113,0.9945
2012-12-28,1.3219,86.112,0.9131,1.6168,0.9963
2012-12-31,1.3188,86.756,0.9156,1.6234,0.9921
2013-01-01,1.3219,86.7,0.9156,1.623,0.9934
2013-01-02,1.3177,87.203,0.9184,1.6244,0.9857
2013-01-03,1.305,87.25,0.9267,1.6093,0.9878
2013-01-04,1.308,88.12,0.9239,1.6076,0.9869
2013-01-07,1.3106,87.77,0.9221,1.6103,0.986
2013-01-08,1.3083,87.173,0.924,1.6055,0.9868
2013-01-09,1.3064,87.77,0.9251,1.6025,0.9874
2013-01-10,1.3254,88.56,0.915,1.6151,0.9839
2013-01-11,1.3334,89.198,0.9138,1.6119,0.9843
2013-01-14,1.3387,89.4,0.9211,1.6089,0.9835
2013-01-15,1.3311,88.87,0.9313,1.6064,0.9841
2013-01-16,1.3282,88.35,0.9314,1.5995,0.9859
2013-01-17,1.3374,89.95,0.933,1.6,0.9852
2013-01-18,1.3318,90.08,0.9343,1.5872,0.9922
2013-01-21,1.3317,89.74,0.9321,1.5825,0.9929
2013-01-22,1.3313,88.7,0.929,1.5826,0.9926
2013-01-23,1.3315,88.68,0.9295,1.5842,0.9991
2013-01-24,1.3375,90.13,0.928,1.579,1.0027
2013-01-25,1.3458,90.9,0.9268,1.5805,1.0063
2013-01-28,1.3454,90.753,0.9264,1.5693,1.0063
2013-01-29,1.3491,90.74,0.9218,1.5759,1.0022
2013-01-30,1.3566,91.129,0.9108,1.5805,1.0014
2013-01-31,1.3577,91.49,0.91,1.5858,0.9975
2013-02-01,1.3651,92.8,0.9071,1.5705,0.9973
2013-02-04,1.3511,92.27,0.9083,1.5762,0.9983
2013-02-05,1.3584,93.535,0.9083,1.5659,0.9962
2013-02-06,1.3522,93.542,0.9098,1.5667,0.9953
2013-02-07,1.3396,93.58,0.9186,1.5703,0.9982
2013-02-08,1.3363,92.71,0.917,1.5795,1.0027
2013-02-11,1.3398,93.92,0.9188,1.5663,1.0041
2013-02-12,1.3447,93.585,0.9175,1.5652,1.0027
2013-02-13,1.345,93.46,0.9172,1.5537,1.002
2013-02-14,1.3354,92.91,0.9223,1.5489,1.0008
2013-02-15,1.3362,93.472,0.9216,1.5516,1.0061
2013-02-18,1.3349,93.938,0.9234,1.5463,1.0109
2013-02-19,1.339,93.53,0.9226,1.5425,1.0117
2013-02-20,1.3283,93.735,0.9275,1.5245,1.0173
2013-02-21,1.3182,93.202,0.9314,1.5249,1.0185
2013-02-22,1.3184,93.41,0.9297,1.5246,1.0207
2013-02-25,1.3089,91.265,0.9293,1.5195,1.0256
2013-02-26,1.3054,92.06,0.9325,1.5123,1.0261
2013-02-27,1.3136,92.229,0.9303,1.5156,1.023
2013-02-28,1.3064,92.66,0.9369,1.5158,1.0305
2013-03-01,1.3024,93.53,0.9428,1.5025,1.027
2013-03-04,1.3017,93.434,0.9411,1.5108,1.0278
2013-03-05,1.3039,93.274,0.9413,1.5117,1.0274
2013-03-06,1.2991,94.05,0.9477,1.5033,1.0315
2013-03-07,1.3106,94.825,0.9425,1.5013,1.0288
2013-03-08,1.2997,96.081,0.952,1.4918,1.0295
2013-03-11,1.3031,96.27,0.948,1.4917,1.027
2013-03-12,1.3034,96.05,0.9465,1.4905,1.0261
2013-03-13,1.296,96.05,0.9522,1.4928,1.0272
2013-03-14,1.3005,96.107,0.9466,1.5083,1.0222
2013-03-15,1.3059,95.363,0.9392,1.5095,1.019
2013-03-18,1.2934,95.19,0.9461,1.5093,1.0223
2013-03-19,1.2888,94.99,0.9472,1.5098,1.0272
2013-03-20,1.294,96.04,0.9439,1.5109,1.0251
2013-03-21,1.2904,94.898,0.9466,1.5177,1.024
2013-03-22,1.2981,94.43,0.9406,1.5238,1.0232
2013-03-25,1.2857,94.082,0.9483,1.5181,1.0212
2013-03-26,1.2858,94.55,0.9481,1.5159,1.0166
2013-03-27,1.277,94.425,0.9545,1.5124,1.0163
2013-03-28,1.2817,94.08,0.9495,1.519,1.0158
2013-03-29,1.2813,94.197,0.9494,1.5189,1.0176
2013-04-01,1.2845,93.359,0.9469,1.5229,1.0168
2013-04-02,1.2814,93.382,0.9492,1.5105,1.0148
2013-04-03,1.2846,92.77,0.9446,1.5146,1.0148
2013-04-04,1.2933,96.17,0.9397,1.5234,1.0123
2013-04-05,1.301,97.77,0.933,1.5336,1.0162
2013-04-08,1.2995,99.312,0.9356,1.5245,1.0177
2013-04-09,1.3083,99,0.9323,1.5319,1.0159
2013-04-10,1.3057,99.77,0.933,1.5324,1.0142
2013-04-11,1.3111,99.82,0.9301,1.5391,1.0099
2013-04-12,1.3103,98.561,0.9282,1.5352,1.0139
2013-04-15,1.304,97.182,0.9317,1.5282,1.0255
2013-04-16,1.3184,97.56,0.9218,1.5373,1.0204
2013-04-17,1.3022,97.841,0.9328,1.5237,1.0266
2013-04-18,1.3053,98.171,0.9318,1.5278,1.0257
2013-04-19,1.3053,99.51,0.9336,1.5229,1.0265
2013-04-22,1.306,99.343,0.9342,1.5286,1.0259
2013-04-23,1.2996,99.455,0.945,1.5243,1.0264
2013-04-24,1.3018,99.48,0.9467,1.5269,1.0253
2013-04-25,1.3005,99.26,0.9447,1.543,1.0206
2013-04-26,1.303,98.08,0.9426,1.5485,1.0164
2013-04-29,1.3093,97.99,0.9374,1.5493,1.0109
2013-04-30,1.3167,97.52,0.9297,1.5533,1.0073
2013-05-01,1.3175,97.292,0.9275,1.5558,1.0082
2013-05-02,1.3063,97.92,0.9347,1.5536,1.008
2013-05-03,1.3114,98.99,0.9354,1.5563,1.0073
2013-05-06,1.3075,99.36,0.9383,1.5542,1.0068
2013-05-07,1.3073,99.01,0.9404,1.5479,1.0045
2013-05-08,1.3154,98.956,0.935,1.5537,1.0031
2013-05-09,1.3033,100.606,0.9477,1.5446,1.007
2013-05-10,1.2985,101.57,0.9571,1.5359,1.011
2013-05-13,1.2968,101.87,0.9577,1.5296,1.0109
2013-05-14,1.294,102.26,0.9653,1.5227,1.0172
2013-05-15,1.288,102.337,0.9659,1.5221,1.0171
2013-05-16,1.2874,102.293,0.9636,1.5269,1.0189
2013-05-17,1.2829,103.29,0.9729,1.5162,1.0291
2013-05-20,1.2887,102.335,0.9661,1.5259,1.0234
2013-05-21,1.2909,102.48,0.9697,1.5155,1.0262
2013-05-22,1.2852,102.766,0.9774,1.5043,1.0377
2013-05-23,1.2931,101.86,0.9687,1.5103,1.0302
2013-05-24,1.2934,101.1,0.9611,1.5124,1.0323
2013-05-27,1.2929,101.15,0.9645,1.5091,1.0328
2013-05-28,1.2871,102.14,0.9737,1.5054,1.0393
2013-05-29,1.2936,101.121,0.962,1.5127,1.0353
2013-05-30,1.3047,100.693,0.9529,1.5232,1.03
2013-05-31,1.2997,100.48,0.9567,1.5193,1.0359
2013-06-03,1.3074,99.466,0.9467,1.5317,1.0275
2013-06-04,1.3082,100.119,0.9469,1.5306,1.0343
2013-06-05,1.3094,99.16,0.9416,1.5404,1.0343
2013-06-06,1.3243,97.06,0.9296,1.5606,1.026
2013-06-07,1.3216,97.46,0.9364,1.5551,1.0194
2013-06-10,1.3257,98.756,0.933,1.5578,1.0186
2013-06-11,1.3305,96.02,0.9249,1.5642,1.0189
2013-06-12,1.3332,95.77,0.9204,1.5676,1.0214
2013-06-13,1.3366,94.806,0.9214,1.57,1.0171
2013-06-14,1.3348,94.374,0.9213,1.5705,1.0171
2013-06-17,1.3376,94.46,0.9222,1.5733,1.0176
2013-06-18,1.3401,95.212,0.9195,1.5647,1.0202
2013-06-19,1.3277,96.723,0.9302,1.5493,1.0266
2013-06-20,1.322,97.354,0.9273,1.5487,1.0374
2013-06-21,1.3124,97.716,0.9343,1.5422,1.0452
2013-06-24,1.313,97.59,0.9326,1.5446,1.0476
2013-06-25,1.3097,97.77,0.9373,1.5434,1.0506
2013-06-26,1.3012,97.79,0.9424,1.5325,1.0471
2013-06-27,1.3043,98.261,0.9444,1.5264,1.0473
2013-06-28,1.3015,99.18,0.9446,1.5208,1.0511
2013-07-01,1.3063,99.555,0.9449,1.5215,1.0497
2013-07-02,1.2978,100.58,0.9504,1.516,1.054
2013-07-03,1.3006,99.94,0.9466,1.5281,1.051
2013-07-04,1.2918,100.02,0.9559,1.5075,1.0518
2013-07-05,1.283,101.135,0.963,1.4902,1.0569
2013-07-08,1.2868,100.99,0.9634,1.4951,1.0559
2013-07-09,1.2787,100.97,0.9723,1.4875,1.0523
2013-07-10,1.3023,99.52,0.9534,1.493,1.0505
2013-07-11,1.3114,98.846,0.945,1.5205,1.0379
2013-07-12,1.3065,99.36,0.946,1.5103,1.0393
2013-07-15,1.3069,99.328,0.9456,1.5107,1.0427
2013-07-16,1.316,99.096,0.9395,1.5151,1.0369
2013-07-17,1.3119,99.604,0.9409,1.5212,1.0415
2013-07-18,1.3105,100.46,0.9445,1.5217,1.0381
2013-07-19,1.3142,100.32,0.9405,1.5269,1.0363
2013-07-22,1.3186,99.54,0.936,1.5351,1.0338
2013-07-23,1.3221,99.49,0.9351,1.5377,1.0286
2013-07-24,1.3196,100.314,0.9376,1.5312,1.0317
2013-07-25,1.3291,99.037,0.9282,1.5424,1.0256
2013-07-26,1.3281,98.192,0.9282,1.5389,1.027
2013-07-29,1.3265,97.837,0.9303,1.5352,1.0259
2013-07-30,1.3262,97.98,0.9295,1.5245,1.0304
2013-07-31,1.3301,97.92,0.9256,1.5211,1.0269
2013-08-01,1.3206,99.55,0.9365,1.512,1.0346
2013-08-02,1.3281,98.84,0.9293,1.5279,1.0391
2013-08-05,1.3258,98.359,0.9278,1.5353,1.0362
2013-08-06,1.3309,97.7,0.9252,1.5354,1.037
2013-08-07,1.3339,96.46,0.9211,1.5493,1.042
2013-08-08,1.338,96.69,0.9201,1.5534,1.0324
2013-08-09,1.3344,96.217,0.9216,1.5511,1.0288
2013-08-12,1.3308,96.671,0.9248,1.5469,1.0297
2013-08-13,1.3264,98.132,0.9326,1.5454,1.0337
2013-08-14,1.3259,98.14,0.9348,1.5508,1.0329
2013-08-15,1.3355,97.332,0.9256,1.5646,1.03
2013-08-16,1.3332,97.52,0.9263,1.562,1.0335
2013-08-19,1.334,97.615,0.9237,1.5653,1.0342
2013-08-20,1.3419,97.26,0.9172,1.5672,1.0385
2013-08-21,1.3365,97.8,0.9219,1.5679,1.0463
2013-08-22,1.335,98.703,0.9238,1.5583,1.0517
2013-08-23,1.3383,98.61,0.9207,1.5583,1.0497
2013-08-26,1.3375,98.46,0.922,1.5582,1.0501
2013-08-27,1.3389,97.061,0.9177,1.5543,1.0477
2013-08-28,1.3341,97.71,0.9216,1.5526,1.0478
2013-08-29,1.3243,98.213,0.9306,1.5504,1.0529
2013-08-30,1.3216,98.154,0.9302,1.5493,1.0536
2013-09-02,1.3184,99.37,0.9343,1.5532,1.0556
2013-09-03,1.3171,99.54,0.9363,1.5566,1.053
2013-09-04,1.3212,99.63,0.9355,1.5627,1.049
2013-09-05,1.3117,100.13,0.9446,1.5588,1.0502
2013-09-06,1.3178,99.05,0.9374,1.563,1.0406
2013-09-09,1.3257,99.58,0.9322,1.5697,1.0374
2013-09-10,1.3269,100.32,0.9345,1.5732,1.0346
2013-09-11,1.3308,99.947,0.9298,1.5822,1.0318
2013-09-12,1.33,99.44,0.9303,1.5805,1.0324
2013-09-13,1.3303,99.24,0.9292,1.5875,1.0347
2013-09-16,1.3336,99.066,0.927,1.5899,1.0323
2013-09-17,1.3354,99.14,0.9262,1.5903,1.0295
2013-09-18,1.3529,97.893,0.9117,1.6146,1.0223
2013-09-19,1.3529,99.37,0.9103,1.6036,1.026
2013-09-20,1.3522,99.33,0.9106,1.6017,1.0298
2013-09-23,1.3497,98.76,0.9105,1.6051,1.028
2013-09-24,1.347,98.74,0.9128,1.6004,1.0303
2013-09-25,1.3528,98.45,0.9089,1.6084,1.0312
2013-09-26,1.348,98.849,0.9106,1.6032,1.0312
2013-09-27,1.3521,98.2,0.9054,1.6144,1.0301
2013-09-30,1.3519,98.203,0.9058,1.6183,1.0299
2013-10-01,1.3534,97.79,0.9051,1.6204,1.0323
2013-10-02,1.3587,97.372,0.9021,1.62291,1.0325
2013-10-03,1.3617,97.275,0.8995,1.61567,1.0323
2013-10-04,1.3554,97.42,0.9069,1.6023,1.0296
2013-10-07,1.3574,96.89,0.9037,1.6088,1.0311
2013-10-08,1.3575,96.964,0.9038,1.6085,1.0364
2013-10-09,1.3518,97.34,0.9103,1.5955,1.0389
2013-10-10,1.3527,98.24,0.911,1.5975,1.0393
2013-10-11,1.355,98.48,0.9113,1.59551,1.0352
2013-10-14,1.3565,98.53,0.9099,1.59904,1.0349
2013-10-15,1.3517,98.329,0.9129,1.5995,1.0378
2013-10-16,1.3528,98.754,0.9134,1.5948,1.0331
2013-10-17,1.3675,97.89,0.902,1.61595,1.0292
2013-10-18,1.3678,97.84,0.9019,1.6165,1.0294
2013-10-21,1.3678,98.2,0.9018,1.6146,1.03
2013-10-22,1.3778,98.1,0.8949,1.6229,1.0287
2013-10-23,1.3779,97.3,0.8918,1.6168,1.0385
2013-10-24,1.3801,97.28,0.8921,1.6203,1.0425
2013-10-25,1.3809,97.38,0.892,1.6179,1.0452
2013-10-28,1.3803,97.65,0.8943,1.6157,1.0438
2013-10-29,1.3742,98.17,0.8986,1.6038,1.0463
2013-10-30,1.3728,98.583,0.8996,1.6031,1.0478
2013-10-31,1.3585,98.32,0.9064,1.6036,1.042
2013-11-01,1.3489,98.766,0.9123,1.5922,1.0426
2013-11-04,1.3519,98.59,0.9093,1.5971,1.0419
2013-11-05,1.3471,98.56,0.9136,1.6047,1.0454
2013-11-06,1.3521,98.69,0.9116,1.6081,1.0417
2013-11-07,1.342,97.88,0.9157,1.6077,1.0455
2013-11-08,1.336,99.14,0.922,1.6006,1.0479
2013-11-11,1.3408,99.205,0.9191,1.5986,1.0474
2013-11-12,1.3428,99.68,0.9177,1.5897,1.0493
2013-11-13,1.3462,99.375,0.915,1.6028,1.0457
2013-11-14,1.346,100,0.9161,1.6063,1.0472
2013-11-15,1.3493,100.19,0.9147,1.6116,1.0445
